timestamp,open,high,low,close,volume
2025-09-18 02:30:00,245.19,246.42,245.11,246.32,282899.88
2025-09-18 03:00:00,246.32,247.78,246.01,246.8,592778.66
2025-09-18 03:30:00,246.79,247.1,246.2,246.62,486031.73
2025-09-18 04:00:00,246.62,246.96,245.55,245.64,436462.45
2025-09-18 04:30:00,245.64,246.2,245.43,246.14,368928.35
2025-09-18 05:00:00,246.14,246.26,244.8,244.9,292455.75
2025-09-18 05:30:00,244.89,245.05,244.23,244.84,352179.68
2025-09-18 06:00:00,244.85,244.98,242.7,242.85,685194.39
2025-09-18 06:30:00,242.85,244.28,242.48,244.19,618301.57
2025-09-18 07:00:00,244.19,245.0,244.19,244.69,335072.53
2025-09-18 07:30:00,244.7,245.18,244.45,244.65,281621.77
2025-09-18 08:00:00,244.65,246.2,244.25,246.05,486318.04
2025-09-18 08:30:00,246.05,247.2,245.86,246.9,501243.87
2025-09-18 09:00:00,246.9,246.9,246.16,246.61,293313.6
2025-09-18 09:30:00,246.6,247.06,246.0,247.01,261896.89
2025-09-18 10:00:00,247.01,247.04,245.19,245.36,521353.52
2025-09-18 10:30:00,245.35,246.27,245.3,245.9,209291.85
2025-09-18 11:00:00,245.91,246.93,245.9,246.81,329945.54
2025-09-18 11:30:00,246.81,246.85,245.49,245.84,248914.83
2025-09-18 12:00:00,245.84,246.79,245.69,246.6,272208.78
2025-09-18 12:30:00,246.61,246.61,245.69,245.9,245366.91
2025-09-18 13:00:00,245.89,247.33,245.56,247.15,576649.59
2025-09-18 13:30:00,247.16,248.31,244.83,246.03,1671850.19
2025-09-18 14:00:00,246.02,247.93,245.98,247.37,748834.55
2025-09-18 14:30:00,247.38,248.07,246.34,247.59,680482.21
2025-09-18 15:00:00,247.6,248.93,247.16,248.29,913960.4
2025-09-18 15:30:00,248.28,248.74,247.84,248.12,359168.19
2025-09-18 16:00:00,248.11,249.18,248.07,248.41,550894.32
2025-09-18 16:30:00,248.41,250.22,247.48,249.77,1166305.9
2025-09-18 17:00:00,249.76,253.49,249.18,251.47,2332058.17
2025-09-18 17:30:00,251.47,252.05,250.64,251.29,594352.52
